disease,symptom
spinal cord injury,"paraplegia. this paralysis affects all or part of the trunk, legs and pelvic organs."
spinal cord injury,loss of movement
spinal cord injury,"loss or altered sensation, including the ability to feel heat, cold and touch"
spinal cord injury,loss of bowel or bladder control
spinal cord injury,exaggerated reflex activities or spasms
spinal cord injury,"changes in sexual function, sexual sensitivity and fertility"
spinal cord injury,pain or an intense stinging sensation caused by damage to the nerve fibers in your spinal cord
spinal cord injury,"difficulty breathing, coughing or clearing secretions from your lungs"
jet lag disorder,"disturbed sleep — such as insomnia, early waking or excessive sleepiness"
jet lag disorder,daytime fatigue
jet lag disorder,difficulty concentrating or functioning at your usual level
jet lag disorder,"stomach problems, constipation or diarrhea"
jet lag disorder,a general feeling of not being well
jet lag disorder,mood changes
sty,a red lump on your eyelid that is similar to a boil or a pimple
sty,eyelid pain
sty,eyelid swelling
sty,tearing
marfan syndrome,tall and slender build
marfan syndrome,"disproportionately long arms, legs and fingers"
marfan syndrome,a breastbone that protrudes outward or dips inward
marfan syndrome,"a high, arched palate and crowded teeth"
marfan syndrome,heart murmurs
marfan syndrome,extreme nearsightedness
marfan syndrome,an abnormally curved spine
marfan syndrome,flat feet
cryptosporidium infection,watery diarrhea
cryptosporidium infection,dehydration
cryptosporidium infection,lack of appetite
cryptosporidium infection,weight loss
cryptosporidium infection,stomach cramps or pain
cryptosporidium infection,fever
cryptosporidium infection,nausea
cryptosporidium infection,vomiting
granulomatosis with polyangiitis,"pus-like drainage with crusts from your nose, stuffiness, sinus infections and nosebleeds"
granulomatosis with polyangiitis,"coughing, sometimes with bloody phlegm"
granulomatosis with polyangiitis,shortness of breath or wheezing
granulomatosis with polyangiitis,fever
granulomatosis with polyangiitis,fatigue
granulomatosis with polyangiitis,joint pain
granulomatosis with polyangiitis,"numbness in your limbs, fingers or toes"
granulomatosis with polyangiitis,weight loss
granulomatosis with polyangiitis,blood in your urine
granulomatosis with polyangiitis,"skin sores, bruising or rashes"
granulomatosis with polyangiitis,"eye redness, burning or pain, and vision problems"
granulomatosis with polyangiitis,ear inflammation and hearing problems
polyhydramnios,shortness of breath or the inability to breathe
polyhydramnios,swelling in the lower extremities and abdominal wall
polyhydramnios,uterine discomfort or contractions
polyhydramnios,"fetal malposition, such as breech presentation"
"multiple endocrine neoplasia, type 1 (men 1)",tiredness
"multiple endocrine neoplasia, type 1 (men 1)",bone pain
"multiple endocrine neoplasia, type 1 (men 1)",broken bones
"multiple endocrine neoplasia, type 1 (men 1)",kidney stones
"multiple endocrine neoplasia, type 1 (men 1)",ulcers in the stomach or intestines
tricuspid atresia,blue tinge to the skin and lips (cyanosis)
tricuspid atresia,difficulty breathing
tricuspid atresia,"tiring easily, especially during feedings"
tricuspid atresia,slow growth and poor weight gain
tricuspid atresia,fatigue and weakness
tricuspid atresia,shortness of breath
tricuspid atresia,"swelling (edema) in the legs, ankles and feet"
tricuspid atresia,swelling of the abdomen (ascites)
tricuspid atresia,sudden weight gain from fluid retention
ankylosing spondylitis,the joint between the base of your spine and your pelvis
ankylosing spondylitis,the vertebrae in your lower back
ankylosing spondylitis,"the places where your tendons and ligaments attach to bones, mainly in your spine, but sometimes along the back of your heel"
ankylosing spondylitis,the cartilage between your breastbone and ribs
ankylosing spondylitis,your hip and shoulder joints
niemann-pick,clumsiness and difficulty walking
niemann-pick,excessive muscle contractions (dystonia) or eye movements
niemann-pick,sleep disturbances
niemann-pick,difficulty swallowing and eating
niemann-pick,recurrent pneumonia
tinea versicolor,"patches of skin discoloration, usually on the back, chest, neck and upper arms, which may appear lighter or darker than usual"
tinea versicolor,mild itching
tinea versicolor,scaling
pet allergy,sneezing
pet allergy,runny nose
pet allergy,"itchy, red or watery eyes"
pet allergy,nasal congestion
pet allergy,"itchy nose, roof of mouth or throat"
pet allergy,postnasal drip
pet allergy,cough
pet allergy,facial pressure and pain
pet allergy,frequent awakening
pet allergy,"swollen, blue-colored skin under your eyes"
pet allergy,"in a child, frequent upward rubbing of the nose"
pet allergy,difficulty breathing
pet allergy,chest tightness or pain
pet allergy,audible whistling or wheezing sound when exhaling
pet allergy,"trouble sleeping caused by shortness of breath, coughing or wheezing"
mouth cancer,a lip or mouth sore that doesn't heal
mouth cancer,a white or reddish patch on the inside of your mouth
mouth cancer,loose teeth
mouth cancer,a growth or lump inside your mouth
mouth cancer,mouth pain
mouth cancer,ear pain
mouth cancer,difficult or painful swallowing
pediatric obstructive sleep apnea,snoring
pediatric obstructive sleep apnea,pauses in breathing
pediatric obstructive sleep apnea,restless sleep
pediatric obstructive sleep apnea,"snorting, coughing or choking"
pediatric obstructive sleep apnea,mouth breathing
pediatric obstructive sleep apnea,nighttime sweating
pediatric obstructive sleep apnea,bed-wetting
pediatric obstructive sleep apnea,sleep terrors
pediatric obstructive sleep apnea,perform poorly in school
pediatric obstructive sleep apnea,have difficulty paying attention
pediatric obstructive sleep apnea,have learning problems
pediatric obstructive sleep apnea,have behavioral problems
pediatric obstructive sleep apnea,have poor weight gain
pediatric obstructive sleep apnea,be hyperactive
toxic shock syndrome,a sudden high fever
toxic shock syndrome,low blood pressure
toxic shock syndrome,vomiting or diarrhea
toxic shock syndrome,"a rash resembling a sunburn, particularly on your palms and soles"
toxic shock syndrome,confusion
toxic shock syndrome,muscle aches
toxic shock syndrome,"redness of your eyes, mouth and throat"
toxic shock syndrome,seizures
toxic shock syndrome,headaches
wolff-parkinson-white (wpw) syndrome,"a rapid, fluttering or pounding heartbeat (palpitations)"
wolff-parkinson-white (wpw) syndrome,dizziness or lightheadedness
wolff-parkinson-white (wpw) syndrome,shortness of breath
wolff-parkinson-white (wpw) syndrome,fatigue
wolff-parkinson-white (wpw) syndrome,anxiety
wolff-parkinson-white (wpw) syndrome,chest pain
wolff-parkinson-white (wpw) syndrome,difficulty breathing
wolff-parkinson-white (wpw) syndrome,fainting
alcohol use disorder,being unable to limit the amount of alcohol you drink
alcohol use disorder,wanting to cut down on how much you drink or making unsuccessful attempts to do so
alcohol use disorder,"spending a lot of time drinking, getting alcohol or recovering from alcohol use"
alcohol use disorder,feeling a strong craving or urge to drink alcohol
alcohol use disorder,"failing to fulfill major obligations at work, school or home due to repeated alcohol use"
alcohol use disorder,"continuing to drink alcohol even though you know it's causing physical, social or interpersonal problems"
alcohol use disorder,giving up or reducing social and work activities and hobbies
alcohol use disorder,"using alcohol in situations where it's not safe, such as when driving or swimming"
alcohol use disorder,developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount
alcohol use disorder,"experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms"
alcohol use disorder,"alcohol intoxication results as the amount of alcohol in your bloodstream increases. the higher the blood alcohol concentration is, the more impaired you become. alcohol intoxication causes behavior problems and mental changes. these may include inappropriate behavior, unstable moods, impaired judgment, slurred speech, impaired attention or memory, and poor coordination. you can also have periods called ""blackouts,"" where you don't remember events. very high blood alcohol levels can lead to coma or even death."
alcohol use disorder,"alcohol withdrawal can occur when alcohol use has been heavy and prolonged and is then stopped or greatly reduced. it can occur within several hours to four or five days later. signs and symptoms include sweating, rapid heartbeat, hand tremors, problems sleeping, nausea and vomiting, hallucinations, restlessness and agitation, anxiety, and occasionally seizures. symptoms can be severe enough to impair your ability to function at work or in social situations."
nonallergic rhinitis,stuffy nose
nonallergic rhinitis,runny nose
nonallergic rhinitis,sneezing
nonallergic rhinitis,mucus (phlegm) in the throat (postnasal drip)
nonallergic rhinitis,cough
testicular torsion,"sudden, severe pain in the scrotum — the loose bag of skin under your penis that contains the testicles"
testicular torsion,swelling of the scrotum
testicular torsion,abdominal pain
testicular torsion,nausea and vomiting
testicular torsion,a testicle that's positioned higher than normal or at an unusual angle
testicular torsion,frequent urination
testicular torsion,fever
myoclonus,sudden
myoclonus,brief
myoclonus,involuntary
myoclonus,shock-like
myoclonus,variable in intensity and frequency
myoclonus,localized to one part of the body or all over the body
myoclonus,"sometimes severe enough to interfere with eating, speaking or walking"
scarlet fever,"red rash. the rash looks like a sunburn and feels like sandpaper. it typically begins on the face or neck and spreads to the trunk, arms and legs. if pressure is applied to the reddened skin, it will turn pale."
scarlet fever,"red lines. the folds of skin around the groin, armpits, elbows, knees and neck usually become a deeper red than the surrounding rash."
scarlet fever,flushed face. the face may appear flushed with a pale ring around the mouth.
scarlet fever,"strawberry tongue. the tongue generally looks red and bumpy, and it's often covered with a white coating early in the disease."
scarlet fever,"fever of 101 f (38.3 c) or higher, often with chills"
scarlet fever,"very sore and red throat, sometimes with white or yellowish patches"
scarlet fever,difficulty swallowing
scarlet fever,enlarged glands in the neck (lymph nodes) that are tender to the touch
scarlet fever,nausea or vomiting
scarlet fever,headache
vaginal atrophy,vaginal dryness
vaginal atrophy,vaginal burning
vaginal atrophy,vaginal discharge
vaginal atrophy,genital itching
vaginal atrophy,burning with urination
vaginal atrophy,urgency with urination
vaginal atrophy,frequent urination
vaginal atrophy,recurrent urinary tract infections
vaginal atrophy,urinary incontinence
vaginal atrophy,light bleeding after intercourse
vaginal atrophy,discomfort with intercourse
vaginal atrophy,decreased vaginal lubrication during sexual activity
vaginal atrophy,shortening and tightening of the vaginal canal
prostate cancer,trouble urinating
prostate cancer,decreased force in the stream of urine
prostate cancer,blood in the urine
prostate cancer,blood in the semen
prostate cancer,bone pain
prostate cancer,losing weight without trying
prostate cancer,erectile dysfunction
dermatitis,"atopic dermatitis (eczema). usually beginning in infancy, this red, itchy rash usually occurs where the skin flexes — inside the elbows, behind the knees and in front of the neck. the rash may leak fluid when scratched and crust over. people with atopic dermatitis may experience improvement and then seasonal flare-ups."
dermatitis,"contact dermatitis. this red, itchy stinging rash occurs where your skin has come into contact with substances that irritate the skin or cause an allergic reaction. you may develop blisters."
dermatitis,"seborrheic dermatitis. this condition causes scaly patches, red skin and stubborn dandruff. it usually affects oily areas of the body, such as the face, upper chest and back. seborrheic dermatitis can be a long-term condition with periods of improvement and then seasonal flare-ups. in infants, this condition is called cradle cap."
dermatitis,"follicular eczema. with this type, the affected skin thickens and develops bumps in hair follicles. this condition is common in african americans and in people with dark-brown skin."
cervical cancer,"vaginal bleeding after intercourse, between periods or after menopause"
cervical cancer,"watery, bloody vaginal discharge that may be heavy and have a foul odor"
cervical cancer,pelvic pain or pain during intercourse
basal cell carcinoma,"a pearly white, skin-colored or pink bump that is translucent, meaning you can see a bit through the surface. tiny blood vessels are often visible. in people with darker skin tones, the lesion may be darker but still somewhat translucent. the most common type of basal cell carcinoma, this lesion often appears on the face and ears. the lesion may rupture, bleed and scab over."
basal cell carcinoma,"a brown, black or blue lesion — or a lesion with dark spots — with a slightly raised, translucent border."
basal cell carcinoma,"a flat, scaly, reddish patch with a raised edge is more common on the back or chest. over time, these patches can grow quite large."
basal cell carcinoma,"a white, waxy, scar-like lesion without a clearly defined border, called morpheaform basal cell carcinoma, is the least common."
dengue fever,headache
dengue fever,"muscle, bone or joint pain"
dengue fever,nausea
dengue fever,vomiting
dengue fever,pain behind the eyes
dengue fever,swollen glands
dengue fever,rash
dengue fever,severe stomach pain
dengue fever,persistent vomiting
dengue fever,bleeding from your gums or nose
dengue fever,"blood in your urine, stools or vomit"
dengue fever,"bleeding under the skin, which might look like bruising"
dengue fever,difficult or rapid breathing
dengue fever,fatigue
dengue fever,irritability or restlessness
scabies,"itching, often severe and usually worse at night"
scabies,"thin, irregular burrow tracks made up of tiny blisters or bumps on your skin"
scabies,between the fingers
scabies,in the armpits
scabies,around the waist
scabies,along the insides of the wrists
scabies,on the inner elbows
scabies,on the soles of the feet
scabies,around the breasts
scabies,around the male genital area
scabies,on the buttocks
scabies,on the knees
scabies,scalp
scabies,palms of the hands
scabies,soles of the feet
cholecystitis,severe pain in your upper right or center abdomen
cholecystitis,pain that spreads to your right shoulder or back
cholecystitis,tenderness over your abdomen when it's touched
cholecystitis,nausea
cholecystitis,vomiting
cholecystitis,fever
sprains,pain
sprains,swelling
sprains,bruising
sprains,limited ability to move the affected joint
sprains,"hearing or feeling a ""pop"" in your joint at the time of injury"
polycythemia vera,"itchiness, especially after a warm bath or shower"
polycythemia vera,"numbness, tingling, burning, or weakness in your hands, feet, arms or legs"
polycythemia vera,a feeling of fullness soon after eating and bloating or pain in your left upper abdomen due to an enlarged spleen
polycythemia vera,"unusual bleeding, such as a nosebleed or bleeding gums"
polycythemia vera,"painful swelling of one joint, often the big toe"
polycythemia vera,shortness of breath and difficulty breathing when lying down
idradenitis suppurativa,"blackheads. small pitted areas of skin containing blackheads — often appearing in pairs or a ""double-barreled"" pattern — are a common feature."
idradenitis suppurativa,"painful pea-sized lumps. the condition usually starts with a single, painful lump under the skin that persists for weeks or months. later more bumps form. they usually appear in areas with hair follicles with many oil and sweat glands, such as the armpits, groin and anal area. they also occur where skin rubs together, such as the inner thighs, breast and buttocks."
idradenitis suppurativa,"tunnels. over time, tracts connecting the lumps may form under the skin. these wounds heal very slowly, if at all, and can leak pus, which may have an odor."
autonomic neuropathy,"dizziness and fainting when standing, caused by a sudden drop in blood pressure."
autonomic neuropathy,"urinary problems, such as difficulty starting urination, incontinence, difficulty sensing a full bladder and inability to completely empty the bladder, which can lead to urinary tract infections."
autonomic neuropathy,"sexual difficulties, including problems achieving or maintaining an erection (erectile dysfunction) or ejaculation problems in men. in women, problems include vaginal dryness, low libido and difficulty reaching orgasm."
autonomic neuropathy,"difficulty digesting food, such as feeling full after a few bites of food, loss of appetite, diarrhea, constipation, abdominal bloating, nausea, vomiting, difficulty swallowing and heartburn, all due to changes in digestive function."
autonomic neuropathy,"inability to recognize low blood sugar (hypoglycemia), because the warning signals, such as getting shaky, aren't there."
autonomic neuropathy,"sweating abnormalities, such as sweating too much or too little, which affect the ability to regulate body temperature."
autonomic neuropathy,"sluggish pupil reaction, making it difficult to adjust from light to dark and seeing well when driving at night."
autonomic neuropathy,"exercise intolerance, which can occur if your heart rate stays the same instead of adjusting to your activity level."
ectropion,"watery eyes (excessive tearing). without proper drainage, your tears may pool and constantly flow over your eyelids."
ectropion,"excessive dryness. ectropion can cause your eyes to feel dry, gritty and sandy."
ectropion,"irritation. stagnant tears or dryness can irritate your eyes, causing a burning sensation and redness in your eyelids and the whites of your eyes."
ectropion,"sensitivity to light. stagnant tears or dry eyes can irritate the surface of the cornea, making you sensitive to light."
nasal polyps,a runny nose
nasal polyps,persistent stuffiness
nasal polyps,postnasal drip
nasal polyps,decreased or absent sense of smell
nasal polyps,loss of sense of taste
nasal polyps,facial pain or headache
nasal polyps,pain in your upper teeth
nasal polyps,a sense of pressure over your forehead and face
nasal polyps,snoring
nasal polyps,frequent nosebleeds
lipoma,"situated just under the skin. they commonly occur in the neck, shoulders, back, abdomen, arms and thighs."
lipoma,soft and doughy to the touch. they also move easily with slight finger pressure.
lipoma,"generally small. lipomas are typically less than 2 inches (5 centimeters) in diameter, but they can grow."
lipoma,sometimes painful. lipomas can be painful if they grow and press on nearby nerves or if they contain many blood vessels.
amenorrhea,milky nipple discharge
amenorrhea,hair loss
amenorrhea,headache
amenorrhea,vision changes
amenorrhea,excess facial hair
amenorrhea,pelvic pain
amenorrhea,acne
meniere's disease,"recurring episodes of vertigo. you have a spinning sensation that starts and stops spontaneously. episodes of vertigo occur without warning and usually last 20 minutes to several hours, but not more than 24 hours. severe vertigo can cause nausea."
meniere's disease,"hearing loss. hearing loss in meniere's disease may come and go, particularly early on. eventually, most people have some permanent hearing loss."
meniere's disease,"ringing in the ear (tinnitus). tinnitus is the perception of a ringing, buzzing, roaring, whistling or hissing sound in your ear."
meniere's disease,feeling of fullness in the ear. people with meniere's disease often feel pressure in an affected ear (aural fullness).
sudden cardiac arrest,sudden collapse
sudden cardiac arrest,no pulse
sudden cardiac arrest,no breathing
sudden cardiac arrest,loss of consciousness
sudden cardiac arrest,chest discomfort
sudden cardiac arrest,shortness of breath
sudden cardiac arrest,weakness
sudden cardiac arrest,"fast-beating, fluttering or pounding heart (palpitations)"
dilated cardiomyopathy,fatigue
dilated cardiomyopathy,shortness of breath (dyspnea) when you're active or lying down
dilated cardiomyopathy,reduced ability to exercise
dilated cardiomyopathy,"swelling (edema) in your legs, ankles and feet"
dilated cardiomyopathy,swelling of your abdomen due to fluid buildup (ascites)
dilated cardiomyopathy,chest pain
dilated cardiomyopathy,extra or unusual sounds heard when your heart beats (heart murmurs)
diverticulitis,"pain, which may be constant and persist for several days. the lower left side of the abdomen is the usual site of the pain. sometimes, however, the right side of the abdomen is more painful, especially in people of asian descent."
diverticulitis,nausea and vomiting.
diverticulitis,fever.
diverticulitis,abdominal tenderness.
diverticulitis,"constipation or, less commonly, diarrhea."
pelvic inflammatory disease (pid),pain — ranging from mild to severe — in your lower abdomen and pelvis
pelvic inflammatory disease (pid),abnormal or heavy vaginal discharge that may have an unpleasant odor
pelvic inflammatory disease (pid),"abnormal uterine bleeding, especially during or after intercourse, or between menstrual cycles"
pelvic inflammatory disease (pid),pain during intercourse
pelvic inflammatory disease (pid),"fever, sometimes with chills"
pelvic inflammatory disease (pid),"painful, frequent or difficult urination"
atopic dermatitis (eczema),dry skin
atopic dermatitis (eczema),"itching, which may be severe, especially at night"
atopic dermatitis (eczema),"red to brownish-gray patches, especially on the hands, feet, ankles, wrists, neck, upper chest, eyelids, inside the bend of the elbows and knees, and in infants, the face and scalp"
atopic dermatitis (eczema),"small, raised bumps, which may leak fluid and crust over when scratched"
atopic dermatitis (eczema),"thickened, cracked, scaly skin"
atopic dermatitis (eczema),"raw, sensitive, swollen skin from scratching"
uterine prolapse,sensation of heaviness or pulling in your pelvis
uterine prolapse,tissue protruding from your vagina
uterine prolapse,"urinary problems, such as urine leakage (incontinence) or urine retention"
uterine prolapse,trouble having a bowel movement
uterine prolapse,feeling as if you're sitting on a small ball or as if something is falling out of your vagina
uterine prolapse,"sexual concerns, such as a sensation of looseness in the tone of your vaginal tissue"
tonsillitis,"red, swollen tonsils"
tonsillitis,white or yellow coating or patches on the tonsils
tonsillitis,sore throat
tonsillitis,difficult or painful swallowing
tonsillitis,fever
tonsillitis,"enlarged, tender glands (lymph nodes) in the neck"
tonsillitis,"a scratchy, muffled or throaty voice"
tonsillitis,bad breath
tonsillitis,stomachache
tonsillitis,neck pain or stiff neck
tonsillitis,headache
tonsillitis,drooling due to difficult or painful swallowing
tonsillitis,refusal to eat
tonsillitis,unusual fussiness
epatitis b,abdominal pain
epatitis b,dark urine
epatitis b,fever
epatitis b,joint pain
epatitis b,loss of appetite
epatitis b,nausea and vomiting
epatitis b,weakness and fatigue
epatitis b,yellowing of your skin and the whites of your eyes (jaundice)
listeria infection,fever
listeria infection,chills
listeria infection,muscle aches
listeria infection,nausea
listeria infection,diarrhea
listeria infection,headache
listeria infection,stiff neck
listeria infection,confusion or changes in alertness
listeria infection,loss of balance
listeria infection,convulsions
chronic coug,a runny or stuffy nose
chronic coug,a feeling of liquid running down the back of your throat (postnasal drip)
chronic coug,frequent throat clearing and sore throat
chronic coug,hoarseness
chronic coug,wheezing and shortness of breath
chronic coug,heartburn or a sour taste in your mouth
chronic coug,"in rare cases, coughing up blood"
sinus headaches,"pain, pressure and fullness in your cheeks, brow or forehead"
sinus headaches,worsening pain if you bend forward or lie down
sinus headaches,stuffy nose
sinus headaches,fatigue
sinus headaches,achy feeling in your upper teeth
seizures,temporary confusion
seizures,a staring spell
seizures,uncontrollable jerking movements of the arms and legs
seizures,loss of consciousness or awareness
seizures,"cognitive or emotional symptoms, such as fear, anxiety or deja vu"
n1 flu (swine flu),"fever, but not always"
n1 flu (swine flu),chills
n1 flu (swine flu),cough
n1 flu (swine flu),sore throat
n1 flu (swine flu),runny or stuffy nose
n1 flu (swine flu),"watery, red eyes"
n1 flu (swine flu),body aches
n1 flu (swine flu),headache
n1 flu (swine flu),fatigue
n1 flu (swine flu),diarrhea
n1 flu (swine flu),nausea and vomiting
multisystem inflammatory syndrome in children (mis-c) and covid-19,fever that lasts 24 hours or longer
multisystem inflammatory syndrome in children (mis-c) and covid-19,vomiting
multisystem inflammatory syndrome in children (mis-c) and covid-19,diarrhea
multisystem inflammatory syndrome in children (mis-c) and covid-19,pain in the stomach
multisystem inflammatory syndrome in children (mis-c) and covid-19,skin rash
multisystem inflammatory syndrome in children (mis-c) and covid-19,feeling unusually tired
multisystem inflammatory syndrome in children (mis-c) and covid-19,fast heartbeat
multisystem inflammatory syndrome in children (mis-c) and covid-19,rapid breathing
multisystem inflammatory syndrome in children (mis-c) and covid-19,red eyes
multisystem inflammatory syndrome in children (mis-c) and covid-19,redness or swelling of the lips and tongue
multisystem inflammatory syndrome in children (mis-c) and covid-19,redness or swelling of the hands or feet
multisystem inflammatory syndrome in children (mis-c) and covid-19,"headache, dizziness or lightheadedness"
multisystem inflammatory syndrome in children (mis-c) and covid-19,enlarged lymph nodes
alcoholic hepatitis,loss of appetite
alcoholic hepatitis,nausea and vomiting
alcoholic hepatitis,abdominal tenderness
alcoholic hepatitis,"fever, often low grade"
alcoholic hepatitis,fatigue and weakness
alcoholic hepatitis,fluid accumulation in your abdomen (ascites)
alcoholic hepatitis,confusion and behavior changes due to a buildup of toxins normally broken down and eliminated by the liver
alcoholic hepatitis,kidney and liver failure
microcephaly,a head size significantly smaller than that of other children of the same age and sex
ruptured spleen,pain in the upper left abdomen
ruptured spleen,tenderness when you touch the upper left abdomen
ruptured spleen,left shoulder pain
ruptured spleen,"confusion, lightheadedness or dizziness"
eosinophilic esophagitis,difficulty swallowing (dysphagia)
eosinophilic esophagitis,food getting stuck in the esophagus after swallowing (impaction)
eosinophilic esophagitis,chest pain that is often centrally located and does not respond to antacids
eosinophilic esophagitis,backflow of undigested food (regurgitation)
eosinophilic esophagitis,"difficulty feeding, in infants"
eosinophilic esophagitis,"difficulty eating, in children"
eosinophilic esophagitis,vomiting
eosinophilic esophagitis,abdominal pain
eosinophilic esophagitis,difficulty swallowing (dysphagia)
eosinophilic esophagitis,food getting stuck in the esophagus after swallowing (impaction)
eosinophilic esophagitis,no response to gerd medication
eosinophilic esophagitis,"failure to thrive (poor growth, malnutrition and weight loss)"
occupational asthma,"wheezing, sometimes just at night"
occupational asthma,coughing
occupational asthma,shortness of breath
occupational asthma,chest tightness
occupational asthma,runny nose
occupational asthma,nasal congestion
occupational asthma,eye irritation and tearing
occupational asthma,"get worse as the workweek progresses, go away during weekends and vacations, and recur when you return to work."
occupational asthma,occur both at work and away from work.
occupational asthma,start as soon as you're exposed to an asthma-inducing substance at work or only after a period of regular exposure to the substance.
occupational asthma,"continue after exposure is stopped. the longer you're exposed to the asthma-causing substance, the more likely you'll have long-lasting or permanent asthma symptoms."
diabetic nephropathy,worsening blood pressure control
diabetic nephropathy,protein in the urine
diabetic nephropathy,"swelling of feet, ankles, hands or eyes"
diabetic nephropathy,increased need to urinate
diabetic nephropathy,reduced need for insulin or diabetes medicine
diabetic nephropathy,confusion or difficulty concentrating
diabetic nephropathy,shortness of breath
diabetic nephropathy,loss of appetite
diabetic nephropathy,nausea and vomiting
diabetic nephropathy,persistent itching
diabetic nephropathy,fatigue
lazy eye (amblyopia),an eye that wanders inward or outward
lazy eye (amblyopia),eyes that appear to not work together
lazy eye (amblyopia),poor depth perception
lazy eye (amblyopia),squinting or shutting an eye
lazy eye (amblyopia),head tilting
